"","country","country_code","latitude","longitude"
"207","Unknown","Unknown",-32.8717,-64.2233
"208","Unknown","Unknown",-13.1233,-42.2885
"209","Unknown","Unknown",-39.85,-69.4833
"210","Unknown","Unknown",35.3,-106.6333
"211","Unknown","Unknown",-30.3667,126.0167
"212","Unknown","Unknown",50.94,-96.9917
"213","Unknown","Unknown",35.6333,-115.3667
"214","Unknown","Unknown",35.6593,-115.3717
"215","Unknown","Unknown",35.6717,-115.3672
"216","Unknown","Unknown",35.6835,-115.347
"217","Unknown","Unknown",35.673,-115.3672
"218","Unknown","Unknown",35.6808,-115.3406
"219","Unknown","Unknown",35.6741,-115.3681
"220","Unknown","Unknown",35.6701,-115.3725
"221","Unknown","Unknown",35.6773,-115.3566
"222","Unknown","Unknown",35.6735,-115.3507
"223","Unknown","Unknown",35.6659,-115.3708
"224","Unknown","Unknown",-72.6533,160.307
"225","Unknown","Unknown",34.0833,-103.5
"226","Unknown","Unknown",34.4222,-101.4975
"227","Unknown","Unknown",41.65,-109.025
"228","Unknown","Unknown",25.3333,-104.6667
"229","Unknown","Unknown",-22.3333,118
"230","Unknown","Unknown",34.065,-103.4083
"231","Unknown","Unknown",37.1167,-101.6
"232","Unknown","Unknown",37.0833,-101.6
"233","Unknown","Unknown",50.2853,46.6997
"234","Unknown","Unknown",35.7667,-102.95
"235","Unknown","Unknown",-23.0833,14.715
"236","Unknown","Unknown",34.8667,-98.95
"237","Unknown","Unknown",33.7833,-103.5667
"238","Unknown","Unknown",33.7167,-103.65
"239","Unknown","Unknown",33.8833,-103.5667
"240","Unknown","Unknown",34.2167,-103.2833
"241","Unknown","Unknown",33.0833,-103.5
"242","Unknown","Unknown",33.75,-103.1333
"243","Unknown","Unknown",34.1,-103.4833
"244","Unknown","Unknown",34.2167,-103.2
"245","Unknown","Unknown",34.3167,-103.4167
"246","Unknown","Unknown",34.1167,-103.5667
"247","Unknown","Unknown",34.1333,-103.5667
"248","Unknown","Unknown",33.8181,-103.2069
"249","Unknown","Unknown",34.1833,-103.2333
"250","Unknown","Unknown",34.15,-104.0167
"251","Unknown","Unknown",33.8,-103.25
"252","Unknown","Unknown",34.2833,-103.4333
"253","Unknown","Unknown",33.7833,-103.55
"254","Unknown","Unknown",34.0833,-103.6167
"255","Unknown","Unknown",34.0833,-103.5167
"256","Unknown","Unknown",34.3,-103.45
"257","Unknown","Unknown",34.25,-103.5167
"258","Unknown","Unknown",34.2333,-103.25
"259","Unknown","Unknown",34.1333,-103.3667
"260","Unknown","Unknown",33.6167,-103.45
"261","Unknown","Unknown",34.2167,-103.35
"262","Unknown","Unknown",33.8833,-103.7
"263","Unknown","Unknown",34.3,-103.4333
"264","Unknown","Unknown",34.4167,-103.5833
"265","Unknown","Unknown",34.2167,-103.5
"266","Unknown","Unknown",34.0833,-103.4833
"267","Unknown","Unknown",34.1833,-103.4333
"268","Unknown","Unknown",34.1,-103.5833
"269","Unknown","Unknown",34.05,-103.5
"270","Unknown","Unknown",33.6333,-103.1667
"271","Unknown","Unknown",34.0833,-103.5667
"272","Unknown","Unknown",33.6667,-103.4167
"273","Unknown","Unknown",34.2,-103.2333
"274","Unknown","Unknown",34.3167,-103.3833
"275","Unknown","Unknown",34.2833,-103.2833
"276","Unknown","Unknown",34.0667,-103.5167
"277","Unknown","Unknown",34.1333,-103.5333
"278","Unknown","Unknown",34.2833,-103.5167
"279","Unknown","Unknown",34.0917,-103.5017
"280","Unknown","Unknown",34.0917,-103.6767
"281","Unknown","Unknown",33.9583,-103.9383
"282","Unknown","Unknown",34.2167,-103.55
"283","Unknown","Unknown",33.6,-103.3
"284","Unknown","Unknown",34.05,-103.5833
"285","Unknown","Unknown",33.995,-103.25
"286","Unknown","Unknown",33.7388,-103.65
"287","Unknown","Unknown",33.7222,-103.6733
"288","Unknown","Unknown",34.1883,-103.9417
"289","Unknown","Unknown",34.2167,-103.9333
"290","Unknown","Unknown",34.2167,-103.1333
"291","Unknown","Unknown",34.2167,-103.1833
"292","Unknown","Unknown",33.7367,-103.6233
"293","Unknown","Unknown",-15,135
"294","Unknown","Unknown",34.8279,-118.1464
"295","Unknown","Unknown",34.8333,-118.0667
"296","Unknown","Unknown",14.6,-88.6833
"297","Unknown","Unknown",30.8167,-97.05
"298","Unknown","Unknown",30.0581,-96.6514
"299","Unknown","Unknown",30.0667,-96.7
"300","Unknown","Unknown",39.1667,-98.4333
"301","Unknown","Unknown",46.7833,-108.5667
"302","Unknown","Unknown",-29.8,148.6333
"303","Unknown","Unknown",35.95,-104.2
"304","Unknown","Unknown",20,50
"305","Unknown","Unknown",34.3,-81.4
"306","Unknown","Unknown",48.348,17.866
"307","Unknown","Unknown",39.5,-85.5
"308","Unknown","Unknown",38.6167,-102.7167
"309","Unknown","Unknown",39.6167,-85.45
"310","Unknown","Unknown",39.8,-105.5
"311","Unknown","Unknown",32.1333,-111.1333
"312","Unknown","Unknown",81.1667,-49
"313","Unknown","Unknown",32.9167,-104.6667
"314","Unknown","Unknown",34.7564,-114.2344
"315","Unknown","Unknown",34.7563,-114.2343
"316","Unknown","Unknown",34.7587,-114.2334
"317","Unknown","Unknown",34.7508,-114.2272
"318","Unknown","Unknown",34.7467,-114.21
"319","Unknown","Unknown",30.2667,-4.6667
"320","Unknown","Unknown",32.8658,-97.3231
"321","Unknown","Unknown",40.7167,-90.4167
"322","Unknown","Unknown",48.4833,3.5833
"323","Unknown","Unknown",-21.1922,55.6864
"324","Unknown","Unknown",27,-105.25
"325","Unknown","Unknown",-23.826,-68.5722
"326","Unknown","Unknown",-24.2033,-68.805
"327","Unknown","Unknown",38.9833,-111.85
"328","Unknown","Unknown",39.4,-100.4
"329","Unknown","Unknown",66.8,28.45
"330","Unknown","Unknown",40.9167,-111.6667
"331","Unknown","Unknown",37.95,-85.7833
"332","Unknown","Unknown",42.5333,-122.875
"333","Unknown","Unknown",31.4167,-100.35
"334","Unknown","Unknown",34.0006,-115.7297
"335","Unknown","Unknown",-27.5586,-56.1344
"336","Unknown","Unknown",-35.5333,-58.7667
"337","Unknown","Unknown",-23.4333,-69.5
"338","Unknown","Unknown",36,-119
"339","Unknown","Unknown",23.4833,-104.3667
"340","Unknown","Unknown",35,-112
"341","Unknown","Unknown",32.1666,-111.1172
"342","Unknown","Unknown",24.7,-99.0833
"343","Unknown","Unknown",-25.575,-69.795
"344","Unknown","Unknown",-25.4462,-69.8587
"345","Unknown","Unknown",-25.4473,-69.8607
"346","Unknown","Unknown",-25.4458,-69.8635
"347","Unknown","Unknown",-25.4463,-69.8553
"348","Unknown","Unknown",-25.4475,-69.851
"349","Unknown","Unknown",-25.4485,-69.8518
"350","Unknown","Unknown",-25.4477,-69.8718
"351","Unknown","Unknown",-25.4477,-69.8673
"352","Unknown","Unknown",-25.4478,-69.8673
"353","Unknown","Unknown",-25.4432,-69.8955
"354","Unknown","Unknown",-25.4438,-69.8703
"355","Unknown","Unknown",-25.445,-69.8707
"356","Unknown","Unknown",-25.4445,-69.867
"357","Unknown","Unknown",-25.4442,-69.8715
"358","Unknown","Unknown",-25.4435,-69.8745
"359","Unknown","Unknown",-25.443,-69.8752
"360","Unknown","Unknown",-25.4425,-69.874
"361","Unknown","Unknown",-25.4415,-69.8762
"362","Unknown","Unknown",-25.4417,-69.8735
"363","Unknown","Unknown",-25.4425,-69.8722
"364","Unknown","Unknown",-25.443,-69.8718
"365","Unknown","Unknown",-25.44,-69.8723
"366","Unknown","Unknown",-25.372,-69.8995
"367","Unknown","Unknown",-25.4425,-69.8712
"368","Unknown","Unknown",-25.4427,-69.8712
"369","Unknown","Unknown",-25.4412,-69.8712
"370","Unknown","Unknown",-25.4418,-69.871
"371","Unknown","Unknown",-25.4418,-69.8703
"372","Unknown","Unknown",-25.4403,-69.879
"373","Unknown","Unknown",-25.4425,-69.8772
"374","Unknown","Unknown",-25.4408,-69.8688
"375","Unknown","Unknown",-25.4403,-69.8682
"376","Unknown","Unknown",-25.4397,-69.8798
"377","Unknown","Unknown",-25.4405,-69.8802
"378","Unknown","Unknown",-25.4398,-69.8803
"379","Unknown","Unknown",-25.4418,-69.8817
"380","Unknown","Unknown",-25.371,-69.8975
"381","Unknown","Unknown",-25.44,-69.884
"382","Unknown","Unknown",-25.4395,-69.884
"383","Unknown","Unknown",-25.4448,-69.881
"384","Unknown","Unknown",-25.4432,-69.8825
"385","Unknown","Unknown",-25.4437,-69.884
"386","Unknown","Unknown",-25.4435,-69.8667
"387","Unknown","Unknown",-25.4423,-69.8647
"388","Unknown","Unknown",-25.443,-69.8637
"389","Unknown","Unknown",-25.4473,-69.8835
"390","Unknown","Unknown",-25.4393,-69.8863
"391","Unknown","Unknown",-25.4397,-69.8865
"392","Unknown","Unknown",-25.4387,-69.8865
"393","Unknown","Unknown",-25.4395,-69.8858
"394","Unknown","Unknown",-25.44,-69.8883
"395","Unknown","Unknown",-25.4407,-69.8637
"396","Unknown","Unknown",-25.4393,-69.8635
"397","Unknown","Unknown",-25.4388,-69.8588
"398","Unknown","Unknown",-25.449,-69.8815
"399","Unknown","Unknown",-25.4493,-69.8815
"400","Unknown","Unknown",-25.449,-69.8803
"401","Unknown","Unknown",-25.4465,-69.8858
"402","Unknown","Unknown",-25.4407,-69.8608
"403","Unknown","Unknown",-25.4252,-69.6902
"404","Unknown","Unknown",-25.5833,-69.7833
"405","Unknown","Unknown",-33.3333,-66.3833
"406","Unknown","Unknown",29.5,-98.5
"407","Unknown","Unknown",-16.2167,-50.3
"408","Unknown","Unknown",39.43,-99.995
"409","Unknown","Unknown",40.8167,-102.25
"410","Unknown","Unknown",30.1333,-102.15
"411","Unknown","Unknown",40.4333,-98.0667
"412","Unknown","Unknown",35.25,-106.5
"413","Unknown","Unknown",35.9333,-91.6333
"414","Unknown","Unknown",19.2167,-98.3
"415","Unknown","Unknown",-26.2167,-48.6
"416","Unknown","Unknown",24.4667,-103.35
"417","Unknown","Unknown",-16.2667,-47.95
"418","Unknown","Unknown",5.9167,-73
"419","Unknown","Unknown",27.3333,-112.3333
"420","Unknown","Unknown",-33.5094,-53.4108
"421","Unknown","Unknown",24.5,-106
"422","Unknown","Unknown",-21.55,-43.0167
"423","Unknown","Unknown",41.7661,-8.5836
"424","Unknown","Unknown",36.5,137
"425","Unknown","Unknown",39.8443,-100.51
"426","Unknown","Unknown",32.9489,-81.865
"427","Unknown","Unknown",48.4833,44.8167
"428","Unknown","Unknown",45.9835,105.7588
"429","Unknown","Unknown",26.4455,15.5925
"430","Unknown","Unknown",26.812,15.8747
"431","Unknown","Unknown",26.4277,15.8483
"432","Unknown","Unknown",27.1388,15.5475
"433","Unknown","Unknown",26.8425,15.6918
"434","Unknown","Unknown",24.297,18.4143
"435","Unknown","Unknown",24.4,81.8833
"436","Unknown","Unknown",35.1667,-88.1833
"437","Unknown","Unknown",40.8622,-118.5417
"438","Unknown","Unknown",37.5239,-98.6299
"439","Unknown","Unknown",20.5167,56.6667
"440","Unknown","Unknown",20.9718,56.878
"441","Unknown","Unknown",20.979,57.162
"442","Unknown","Unknown",20.796,57.208
"443","Unknown","Unknown",20.996,57.3258
"444","Unknown","Unknown",20.927,57.2855
"445","Unknown","Unknown",20.9523,57.3045
"446","Unknown","Unknown",20.9805,57.319
"447","Unknown","Unknown",20.9915,57.307
"448","Unknown","Unknown",20.992,57.3058
"449","Unknown","Unknown",21.0033,57.2885
"450","Unknown","Unknown",20.9825,57.3148
"451","Unknown","Unknown",20.9655,57.3208
"452","Unknown","Unknown",21.0198,57.2982
"453","Unknown","Unknown",21.048,57.2867
"454","Unknown","Unknown",20.9787,57.3272
"455","Unknown","Unknown",20.9683,57.3173
"456","Unknown","Unknown",20.551,57.1443
"457","Unknown","Unknown",20.6827,57.179
"458","Unknown","Unknown",20.6943,57.1605
"459","Unknown","Unknown",21.0523,57.2857
"460","Unknown","Unknown",21.0718,57.2662
"461","Unknown","Unknown",21.0903,57.2473
"462","Unknown","Unknown",21.1153,57.2212
"463","Unknown","Unknown",21.0218,57.2467
"464","Unknown","Unknown",21.0585,57.2728
"465","Unknown","Unknown",20.9675,57.3235
"466","Unknown","Unknown",21.0657,57.2245
"467","Unknown","Unknown",21.0848,57.0552
"468","Unknown","Unknown",20.8258,57.1993
"469","Unknown","Unknown",21.051,57.2765
"470","Unknown","Unknown",21.054,57.2768
"471","Unknown","Unknown",20.9967,57.2912
"472","Unknown","Unknown",21.0652,57.2817
"473","Unknown","Unknown",20.6737,57.18
"474","Unknown","Unknown",20.6658,57.1863
"475","Unknown","Unknown",21.0692,57.289
"476","Unknown","Unknown",21.0682,57.281
"477","Unknown","Unknown",21.0569,57.2764
"478","Unknown","Unknown",21.0636,57.2714
"479","Unknown","Unknown",21.0756,57.2572
"480","Unknown","Unknown",20.7231,57.1253
"481","Unknown","Unknown",20.9367,57.2611
"482","Unknown","Unknown",21.0608,57.2719
"483","Unknown","Unknown",21.0436,57.0175
"484","Unknown","Unknown",20.8233,57.0853
"485","Unknown","Unknown",20.9383,56.8772
"486","Unknown","Unknown",21.0092,56.9869
"487","Unknown","Unknown",20.9807,57.3022
"488","Unknown","Unknown",20.9758,57.323
"489","Unknown","Unknown",20.974,57.3208
"490","Unknown","Unknown",21.011,57.3207
"491","Unknown","Unknown",21.015,57.338
"492","Unknown","Unknown",20.9828,57.3348
"493","Unknown","Unknown",20.9735,57.305
"494","Unknown","Unknown",20.53,56.6717
"495","Unknown","Unknown",21.0617,57.3267
"496","Unknown","Unknown",20.4567,56.6567
"497","Unknown","Unknown",20.5417,56.6783
"498","Unknown","Unknown",20.98,57.3183
"499","Unknown","Unknown",20.5067,56.655
"500","Unknown","Unknown",21.06,57.29
"501","Unknown","Unknown",20.5817,56.7983
"502","Unknown","Unknown",21,57.31
"503","Unknown","Unknown",21.035,57.2681
"504","Unknown","Unknown",20.5317,56.6767
"505","Unknown","Unknown",20.0433,57.2783
"506","Unknown","Unknown",21.3267,57.1783
"507","Unknown","Unknown",20.819,57.3397
"508","Unknown","Unknown",20.7752,57.2817
"509","Unknown","Unknown",20.819,57.2637
"510","Unknown","Unknown",20.6382,57.169
"511","Unknown","Unknown",20.6515,57.169
