country,country_code,latitude,longitude
Antarctica,AQ,-72.7742,75.3164
Antarctica,AQ,-72.7739,75.32
Antarctica,AQ,-72.7739,75.3206
Antarctica,AQ,-72.7739,75.3219
Antarctica,AQ,-72.7739,75.3222
Antarctica,AQ,-72.7739,75.3225
Antarctica,AQ,-72.7736,75.3436
Antarctica,AQ,-72.7736,75.3447
Antarctica,AQ,-72.7736,75.3467
Antarctica,AQ,-72.7739,75.3281
Antarctica,AQ,-72.7733,75.3219
Antarctica,AQ,-72.7733,75.3236
Antarctica,AQ,-72.7733,75.3247
Antarctica,AQ,-72.7733,75.325
Antarctica,AQ,-72.7733,75.3264
Antarctica,AQ,-72.7756,75.3242
Antarctica,AQ,-72.7756,75.3244
Antarctica,AQ,-72.7756,75.3247
Antarctica,AQ,-72.7756,75.325
Antarctica,AQ,-72.7758,75.3147
Antarctica,AQ,-72.7744,75.3219
Antarctica,AQ,-72.7744,75.3236
Antarctica,AQ,-72.7744,75.3239
Antarctica,AQ,-72.7744,75.3242
Antarctica,AQ,-72.7744,75.3247
Antarctica,AQ,-72.7744,75.325
Antarctica,AQ,-72.7742,75.3175
Antarctica,AQ,-72.7742,75.3181
Antarctica,AQ,-72.7742,75.3183
Antarctica,AQ,-72.7742,75.3186
Antarctica,AQ,-72.7742,75.3189
Antarctica,AQ,-72.7742,75.3192
Antarctica,AQ,-72.7742,75.3194
Antarctica,AQ,-72.7742,75.3203
Antarctica,AQ,-72.7742,75.3206
Antarctica,AQ,-72.7733,75.3364
Antarctica,AQ,-72.7733,75.3367
Antarctica,AQ,-72.7733,75.3378
Antarctica,AQ,-72.7733,75.3381
Antarctica,AQ,-72.7731,75.3381
Antarctica,AQ,-72.7936,75.2822
Antarctica,AQ,-72.7736,75.3386
Antarctica,AQ,-72.7739,75.3392
Antarctica,AQ,-72.7739,75.3394
Antarctica,AQ,-72.7739,75.3397
Antarctica,AQ,-72.7736,75.32
Antarctica,AQ,-72.7736,75.3208
Antarctica,AQ,-72.7736,75.3211
Antarctica,AQ,-72.8894,75.9106
Antarctica,AQ,-72.8908,75.9111
Antarctica,AQ,-72.9833,75.2514
Antarctica,AQ,-72.9842,75.2464
Antarctica,AQ,-72.9842,75.2467
Antarctica,AQ,-72.9839,75.2514
Antarctica,AQ,-72.9925,75.2514
Antarctica,AQ,-72.9831,75.2528
Antarctica,AQ,-72.9839,75.2508
Antarctica,AQ,-72.9839,75.2511
Antarctica,AQ,-72.9842,75.2522
Antarctica,AQ,-72.9844,75.25
Antarctica,AQ,-72.9844,75.2525
Antarctica,AQ,-72.9847,75.2494
Antarctica,AQ,-72.9847,75.2497
Antarctica,AQ,-72.9836,75.2503
Antarctica,AQ,-72.9836,75.2508
Antarctica,AQ,-72.9836,75.2475
Antarctica,AQ,-72.9822,75.2489
Antarctica,AQ,-72.9836,75.2522
Antarctica,AQ,-72.9925,75.2522
Antarctica,AQ,-72.9819,75.2464
Antarctica,AQ,-72.9819,75.2467
Antarctica,AQ,-72.9814,75.2456
Antarctica,AQ,-72.9975,75.2442
Antarctica,AQ,-72.985,75.2564
Antarctica,AQ,-72.985,75.2567
Antarctica,AQ,-72.9847,75.2567
Antarctica,AQ,-72.9825,75.2517
Antarctica,AQ,-72.9825,75.2519
Antarctica,AQ,-72.9825,75.25
Antarctica,AQ,-72.9825,75.2503
Antarctica,AQ,-72.775,75.3422
Antarctica,AQ,-73.0,75.2
Antarctica,AQ,-73.1131,75.1597
Antarctica,AQ,-73.1139,75.1658
Antarctica,AQ,-73.0944,75.2033
Antarctica,AQ,-73.1047,75.1797
Antarctica,AQ,-73.1139,75.1717
Antarctica,AQ,-73.1133,75.1644
Antarctica,AQ,-73.0889,75.2228
Antarctica,AQ,-72.9958,75.1853
Antarctica,AQ,-73.1136,75.2044
Antarctica,AQ,-72.9956,75.1931
Antarctica,AQ,-73.1125,75.1594
Antarctica,AQ,-73.1136,75.1614
Antarctica,AQ,-73.1039,75.1756
Antarctica,AQ,-73.1075,75.1736
Antarctica,AQ,-73.1142,75.1653
Antarctica,AQ,-73.1067,75.1731
Antarctica,AQ,-73.0761,75.26
Antarctica,AQ,-73.0744,75.1803
Antarctica,AQ,-73.1075,75.1525
Antarctica,AQ,-73.1003,75.2
Antarctica,AQ,-72.9931,75.2072
Antarctica,AQ,-72.9956,75.1892
Antarctica,AQ,-72.9956,75.1947
Antarctica,AQ,-72.9969,75.2183
Antarctica,AQ,-72.9978,75.2194
Antarctica,AQ,-72.9997,75.1942
Antarctica,AQ,-72.9986,75.2114
Antarctica,AQ,-72.9967,75.2167
Antarctica,AQ,-72.9983,75.2156
Antarctica,AQ,-72.9986,75.1936
Antarctica,AQ,-72.9956,75.2061
Antarctica,AQ,-72.9967,75.2183
Antarctica,AQ,-72.9969,75.2178
Antarctica,AQ,-72.9969,75.2175
Antarctica,AQ,-72.9925,75.2181
Antarctica,AQ,-72.9917,75.2347
Antarctica,AQ,-72.9919,75.2344
Antarctica,AQ,-72.9925,75.2344
Antarctica,AQ,-72.9933,75.2342
Antarctica,AQ,-72.9906,75.2278
Antarctica,AQ,-73.0806,75.1489
Antarctica,AQ,-72.9961,75.1872
Antarctica,AQ,-73.0911,75.1611
Antarctica,AQ,-73.0031,75.1733
Antarctica,AQ,-72.9953,75.2058
Antarctica,AQ,-72.9897,75.2058
Antarctica,AQ,-72.9858,75.1672
Antarctica,AQ,-73.0017,75.1803
Antarctica,AQ,-73.0036,75.1733
Antarctica,AQ,-73.0006,75.1906
Antarctica,AQ,-72.9925,75.2336
Antarctica,AQ,-72.9786,75.2667
Antarctica,AQ,-72.9786,75.2647
Antarctica,AQ,-72.9779,75.2662
Antarctica,AQ,-72.9794,75.2631
Antarctica,AQ,-72.9781,75.2694
Antarctica,AQ,-72.9775,75.2678
Antarctica,AQ,-72.9808,75.2603
Antarctica,AQ,-72.9767,75.2636
Antarctica,AQ,-72.9761,75.2689
Antarctica,AQ,-72.9758,75.2681
Antarctica,AQ,-72.9844,75.2589
Antarctica,AQ,-72.9836,75.2583
Antarctica,AQ,-72.9783,75.2603
Antarctica,AQ,-72.9831,75.2578
Antarctica,AQ,-72.9814,75.2578
Antarctica,AQ,-72.975,75.2606
Antarctica,AQ,-72.9786,75.2569
Antarctica,AQ,-72.9769,75.2625
Antarctica,AQ,-72.9767,75.2622
Antarctica,AQ,-72.98,75.2486
Antarctica,AQ,-72.9783,75.2911
Antarctica,AQ,-72.9631,75.2153
Antarctica,AQ,-72.9589,75.2233
Antarctica,AQ,-72.96,75.2292
Antarctica,AQ,-72.965,75.2272
Antarctica,AQ,-72.9592,75.2364
Antarctica,AQ,-72.9639,75.2181
Antarctica,AQ,-72.975,75.27
Antarctica,AQ,-72.9753,75.2694
Antarctica,AQ,-72.9836,75.2381
Antarctica,AQ,-72.9539,75.2342
Antarctica,AQ,-72.9806,75.2517
Antarctica,AQ,-72.9739,75.275
Antarctica,AQ,-72.9833,75.2522
Antarctica,AQ,-72.9536,75.2372
Antarctica,AQ,-72.9533,75.2339
Antarctica,AQ,-72.9522,75.2356
Antarctica,AQ,-72.9819,75.2764
Antarctica,AQ,-72.9531,75.2328
Antarctica,AQ,-72.9806,75.2511
Antarctica,AQ,-72.9806,75.2611
Antarctica,AQ,-72.9897,75.2617
Antarctica,AQ,-72.9839,75.2466
Antarctica,AQ,-72.8881,75.2058
Antarctica,AQ,-72.9594,75.2267
Antarctica,AQ,-72.9392,75.2886
Antarctica,AQ,-72.9369,75.2974
Antarctica,AQ,-72.9372,75.2972
Antarctica,AQ,-72.9894,75.23
Antarctica,AQ,-72.9597,75.2217
Antarctica,AQ,-72.9778,75.1958
Antarctica,AQ,-73.0014,75.205
Antarctica,AQ,-72.9875,75.2617
Antarctica,AQ,-72.9858,75.2603
Antarctica,AQ,-72.9831,75.2903
Antarctica,AQ,-72.9911,75.2297
Antarctica,AQ,-72.9833,75.2861
Antarctica,AQ,-72.9953,75.1853
Antarctica,AQ,-72.9953,75.2744
Antarctica,AQ,-72.9961,75.2742
Antarctica,AQ,-72.9936,75.2736
Antarctica,AQ,-72.9836,75.2858
Antarctica,AQ,-72.9861,75.21
Antarctica,AQ,-72.9867,75.1839
Antarctica,AQ,-72.985,75.2339
Antarctica,AQ,-72.984,75.2456
Antarctica,AQ,-72.935,75.3142
Antarctica,AQ,-72.9328,75.3217
Antarctica,AQ,-72.9489,75.3192
Antarctica,AQ,-72.9356,75.3131
Antarctica,AQ,-72.9339,75.3097
Antarctica,AQ,-72.9369,75.2944
Antarctica,AQ,-72.9408,75.2958
Antarctica,AQ,-72.9353,75.3219
