"","reclat","reclong","lat_lng"
"2128",-76.7056,159.3919,"-76.7056,159.3919"
"2129",-76.731,159.4168,"-76.731,159.4168"
"2130",-76.7306,159.4162,"-76.7306,159.4162"
"2131",-76.731,159.4169,"-76.731,159.4169"
"2132",-76.7291,159.4121,"-76.7291,159.4121"
"2133",-76.7295,159.4148,"-76.7295,159.4148"
"2134",-76.7501,159.3447,"-76.7501,159.3447"
"2135",-76.7062,159.3175,"-76.7062,159.3175"
"2136",-76.7649,159.4302,"-76.7649,159.4302"
"2137",-76.7394,159.3821,"-76.7394,159.3821"
"2138",-76.7039,159.3541,"-76.7039,159.3541"
"2139",-76.749,159.2888,"-76.749,159.2888"
"2140",-76.6922,159.2958,"-76.6922,159.2958"
"2141",-76.7221,158.6934,"-76.7221,158.6934"
"2142",-76.7074,159.3237,"-76.7074,159.3237"
"2143",-76.7299,158.7541,"-76.7299,158.7541"
"2144",-76.733,158.7569,"-76.733,158.7569"
"2145",-76.7261,158.7757,"-76.7261,158.7757"
"2146",-76.6933,159.3481,"-76.6933,159.3481"
"2147",-76.6923,159.3288,"-76.6923,159.3288"
"2148",-76.7221,158.7168,"-76.7221,158.7168"
"2149",-76.724,158.7421,"-76.724,158.7421"
"2150",-76.7224,158.7182,"-76.7224,158.7182"
"2151",-76.6917,159.314,"-76.6917,159.314"
"2152",-76.7314,158.7221,"-76.7314,158.7221"
"2153",-76.6823,159.3379,"-76.6823,159.3379"
"2154",-76.6924,159.3305,"-76.6924,159.3305"
"2155",-76.6839,159.2618,"-76.6839,159.2618"
"2156",-76.6931,159.296,"-76.6931,159.296"
"2157",-76.7272,159.4094,"-76.7272,159.4094"
"2158",-76.6898,159.3562,"-76.6898,159.3562"
"2159",-76.7149,159.3673,"-76.7149,159.3673"
"2160",-76.7273,159.3748,"-76.7273,159.3748"
"2161",-76.6805,159.3291,"-76.6805,159.3291"
"2162",-76.6822,159.3115,"-76.6822,159.3115"
"2163",-76.7264,158.7688,"-76.7264,158.7688"
"2164",-76.691,159.3201,"-76.691,159.3201"
